Nome do alimento,Hidratos de carbono (CHO)
"Molho de tomate, ""ketchup""",26.9
Molho para francesinha,4.8
Molho verde,2.3
Morango,5.3
Morcela crua,12
Morcela grelhada sem adição de sal,13.1
Mortadela,1.7
Mousse de chocolate,31
Nabo (raiz) cozido,2.3
Nabo (raiz) cru,3
Nata maturada pasteurizada 30% gordura,2.7
Nata não maturada pasteurizada 33% gordura,2.9
Nata não maturada pasteurizada 36% gordura,1.9
"Nata não maturada pasteurizada para café, 15% gordura",2.4
Nata não maturada UHT 35% gordura,3.1
Nata para bater pasteurizada 34% gordura,2.1
"Néctar de ""tutti - frutti""",10.8
Néctar de alperce,12.9
Néctar de ananás,10.5
Néctar de laranja,9.6
Néctar de maçã,11.3
"Néctar de maçã, ""light""",4.6
Néctar de pêra,11
Néctar de pêssego,11.7
"Néctar de pêssego, ""light""",3.5
Nectarina,8.7
Nêspera,10.2
"Noz, miolo",3.6
"Óleo ""Becel""",0
Óleo alimentar,0
Óleo de amendoim,0
Óleo de girassol,0
Óleo de palma,0
Óleo de soja,0
Óleos de milho,0
Omelete,0.2
Omoleta com manteiga,0
Omoleta com margarina,0
"Ostra, crua",3.9
Ovo (de galinha) cozido,0
Ovo (de galinha) escalfado,0
Ovo (de galinha) estrelado com azeite,0
Ovo (de galinha) estrelado com manteiga,0
Ovo (de galinha) estrelado com margarina,0
Ovo (de galinha) inteiro cru,0
Ovo (de galinha) líquido pasteurizado,0
Ovo (de galinha) mexido com manteiga,0
Ovo (de galinha) mexido com margarina,0
"Ovo (de galinha), clara crua",0
"Ovo (de galinha), gema crua",0
Ovo mexido com leite e margarina,0.9
Pá de carneiro assada com azeite e margarina,0
Pá de carneiro assada com margarina,0
"Pá de carneiro assada, sem molho",0
Pá de carneiro cozida,0
Pá de carneiro crua,0
"Pá de carneiro estufada, sem molho",0
Paio de lombo,0
Paio de lombo entremeado,0
Pão-de-ló,62.2
Pão de centeio,56.4
Pão de centeio integral,41.3
"Pão de forma, de trigo com passas",58.3
"Pão de forma, de trigo enriquecido",54.5
Pão de leite (trigo),51.4
Pão de milho,37.2
Pão de mistura de trigo e centeio,53.8
Pão de trigo,57.3
Pão de trigo integral,39.9
Pão de trigo integral com passas,44
Pão de trigo integral com sementes de sésamo,43.2
Pão de trigo integral com soja,38.2
Pão do coração (trigo),51
Pão ralado,71.6
Papaia,9.1
"Pargo legítimo assado com cebola, tomate e azeite",1.4
Pargo legítimo cozido,0
Pargo legítimo cru,0
"Pargo mulato assado com cebola, tomate e azeite",1.4
Pargo mulato cozido,0
Pargo mulato cru,0
Pasta de fígado de porco (paté),3.2
Pastel de bacalhau,12.3
Pastel de feijão,52
Pastel de nata,48.5
Pastel folhado,37.4
Pastilha elástica,75.1
"Pato com pele assado, sem molho",0
Pato com pele cru,0
Pato sem pele assado com margarina,0
Pato sem pele cru,0
Pato sem pele estufado com margarina,0
Peito de cabrito cru,0
Peito de cabrito estufado com azeite e margarina,0.8
Peito de cabrito estufado com azeite e óleo alimentar,0.7
Peito de cabrito estufado com manteiga e óleo alimentar,0.8
Peito de cabrito estufado com margarina e óleo alimentar,0.8
"Peito de cabrito estufado, sem molho",0
Peito de cabrito grelhado,0
Peito de carneiro gordo cozido,0
Peito de carneiro gordo cru,0
Peito de frango com pele cozido,0
Peito de frango com pele cru,0
Peito de frango com pele estufado com azeite e margarina,1.7
Peito de frango com pele estufado com margarina,1.7
"Peito de frango com pele estufado, sem molho",0
Peito de frango sem pele cozido,0
Peito de frango sem pele cru,0
Peito de frango sem pele estufado com azeite e margarina,1.7
Peito de frango sem pele estufado com margarina,1.7
"Peito de frango sem pele estufado, sem molho",0
Peito de peru com pele cru,0
"Peito de peru com pele, estufado com margarina",1.3
Peito de peru sem pele cru,0
Peito de peru sem pele panado,8.4
"Peito de peru sem pele, assado com margarina",0.1
Peito de vitela magro cozido,0
Peito de vitela magro cru,0
Peito de vitela magro estufado com azeite e margarina,0.6
